allowedToOperate,bipdInsuranceOnFile,bipdInsuranceRequired,bipdRequiredAmount,bondInsuranceOnFile,bondInsuranceRequired,brokerAuthorityStatus,cargoInsuranceOnFile,cargoInsuranceRequired,censusTypeId,commonAuthorityStatus,contractAuthorityStatus,crashTotal,dbaName,dotNumber,driverInsp,driverOosInsp,driverOosRate,driverOosRateNationalAverage,ein,fatalCrash,hazmatInsp,hazmatOosInsp,hazmatOosRate,hazmatOosRateNationalAverage,injCrash,isPassengerCarrier,issScore,legalName,mcs150Outdated,oosDate,oosRateNationalAverageYear,phyCity,phyCountry,phyState,phyStreet,phyZipcode,reviewDate,reviewType,safetyRating,safetyRatingDate,safetyReviewDate,safetyReviewType,snapshotDate,statusCode,totalDrivers,totalPowerUnits,towawayCrash,vehicleInsp,vehicleOosInsp,vehicleOosRate,vehicleOosRateNationalAverage,carrierOperation.carrierOperationCode,carrierOperation.carrierOperationDesc
Y,0,Y,750,0,u,N,0,u,0,N,N,0,0,1000001,0,0,0,5.51,43624420,0,0,0,0,4.5,0,0,0,K W TRUCKING INC,N,0,2009-2010,ATLANTA,US,GA,683 CHARLOTTE PLACE,30318,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000018,0,0,0,5.51,300110534,0,0,0,0,4.5,0,0,0,KENNETH A SKULDT,N,0,2009-2010,NORTH FREEDOM,US,WI,S7559 HIGHWAY 12  LOT R20,53951,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000029,0,0,0,5.51,800030048,0,0,0,0,4.5,0,0,0,THREE T TRUCKING LLC,N,0,2009-2010,WINSTON SALEM,US,NC,4064 THOMASVILLE RD,27107,0,0,0,0,0,0,0,I,1,2,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,N,0,0,1000032,0,0,0,5.51,880499084,0,0,0,0,4.5,0,0,0,M N M TRUCKING INC,N,0,2009-2010,ELKO,US,NV,9060 E IDAHO STREET,89801,0,0,0,0,0,0,0,I,4,3,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000034,0,0,0,5.51,245378229,0,0,0,0,4.5,0,0,0,QUALITE & SERVICE LOGISTICK INC,N,0,2009-2010,ST-HYACINTHE,CA,QC,6210 RANG ST-ANDRE,J2R 1T4,0,0,0,0,0,0,0,I,14,14,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000037,0,0,0,5.51,223833732,0,0,0,0,4.5,0,0,0,RIPS DELIVERY,N,0,2009-2010,NATIONAL PARK,US,NJ,820 CHESTNUT AVE,08063,0,0,0,0,0,0,0,I,2,2,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,N,0,R & P TRANSPORT,1000041,0,0,0,5.51,151609445,0,0,0,0,4.5,0,0,0,RONALD B MOORE,N,0,2009-2010,BURLINGTON,US,NJ,8 CRESTWOOD DR,08016,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000044,0,0,0,5.51,752994732,0,0,0,0,4.5,0,0,0,L & B TRANSFER INC,N,0,2009-2010,OCHLOCKNEE,US,GA,27777 GA HWY 3,31773,2007-06-11,C,S,2007-06-14,2007-06-11,C,0,I,16,13,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000047,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,NP LOGISTIC INC,N,0,2009-2010,EVERETT,US,WA,8419 8TH AVE WEST #1,98204,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000051,0,0,0,5.51,650793361,0,0,0,0,4.5,0,0,0,EXPRESS MOVERS INC,N,0,2009-2010,LAUDERHILL,US,FL,7460 NW 41ST CT,33319,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,5000,0,u,N,0,u,0,I,N,0,0,1000052,0,0,0,5.51,311811642,0,0,0,0,4.5,0,0,0,PAT JOHNSON TRAVEL LLC,N,0,2009-2010,COVINGTON,US,VA,804 S LEXINGTON AVE,24426,0,0,0,0,0,0,0,I,3,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000057,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,JOSE HUMBERTO LUNA OSUNA,N,0,2009-2010,CORONA,US,CA,1101 W 10TH ST APT H,92882,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,u,0,0,u,N,0,u,0,N,I,0,0,1000063,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,ALFREDO COLMENARES LEPE E HIJOS,N,0,2009-2010,AUTLAN,MX,JA,BARCINO 3115,MEXICO,0,0,0,0,0,0,0,I,3,3,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,KELLEY TRUCKING,1000064,0,0,0,5.51,481029708,0,0,0,0,4.5,0,0,0,KEN KELLEY,N,0,2009-2010,EL RENO,US,OK,17101 DARREN AVE,73036,0,0,0,0,0,0,0,I,2,2,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000067,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,ROBERT W CLYMER,N,0,2009-2010,MAYFIELD,US,KY,7685 STATE ROUTE 121 SOUTH,42066,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,UNITY TRUCKING,1000068,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,WALTER J STAMP,N,0,2009-2010,PT ST LUCIE,US,FL,1981 SE TICKRIDGE RD,34952,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
